2733,11366439
2733,11367413
2733,11367320
2733,11367307
2733,11367579
2733,11367664
2733,11366924
2733,11367912
2733,11367781
2733,11367520
2733,11367420
2733,11367553
2733,11367257
2733,11366647
2733,11367862
2733,11367869
2733,11366733
2733,11368137
2733,11367643
2733,11366653
2733,11367349
2733,11368335
2733,11366256
2733,11367217
2733,11366399
2733,11366812
2733,11366369
2733,11367491
2733,11365598
2733,11367608
2733,11366950
2733,11367754
2733,11367338
2733,11365841
2733,11368303
2733,11366857
2733,11367375
2733,11367418
2733,11368262
2733,11367890
2733,11367444
2733,11367949
2733,11368007
2733,11366104
2733,11368079
2733,11367147
2733,11368172
2733,11367137
2733,11368981
2733,11367694
2743.0,11358381
2743.0,11357089
2743.0,11358791
2743.0,11357533
2743.0,11357853
2743.0,11358466
2743.0,11359589
2743.0,11358464
2743.0,11358251
2743.0,11357852
2743.0,11358399
2743.0,11358671
2743.0,11357802
2743.0,11358452
2743.0,11356994
2743.0,11357490
2743.0,11357311
2743.0,11357420
2743.0,11358353
2743.0,11357645
2743.0,11358544
2743.0,11358301
2743.0,11358325
2743.0,11358018
2743.0,11358252
2743.0,11356764
2743.0,11357481
2743.0,11357295
2743.0,11359547
2743.0,11356632
2743.0,11357976
2743.0,11358535
2743.0,11358317
2743.0,11357787
2743.0,11356963
2743.0,11356943
2743.0,11357218
2743.0,11358046
2743.0,11357126
2743.0,11358806
2743.0,11357632
2743.0,11358450
2743.0,11357246
2743.0,11359838
2743.0,11359362
2743.0,11356489
2743.0,11357811
2743.0,11357820
2743.0,11358539
2743.0,11357893
2743.0,11357754
2743.0,11358260
2743.0,11358061
2743.0,11357612
2743.0,11358257
2743.0,11356853
2743.0,11358746
2743.0,11358512
2743.0,11357635
2743.0,11359211
2743.0,11359540
2743.0,11358373
2743.0,11358885
2743.0,11358235
2743.0,11358229
2743.0,11358494
2743.0,11357797
2743.0,11358466
2743.0,11357134
2743.0,11358248
2743.0,11357955
2743.0,11358058
2743.0,11357154
2743.0,11357972
2743.0,11358402
2743.0,11357612
2743.0,11359050
2743.0,11358769
2743.0,11357700
2743.0,11359851
2743.0,11358483
2743.0,11358006
2743.0,11357438
2743.0,11358456
2753.0,11350551
2753.0,11351667
2753.0,11351214
2753.0,11350857
2753.0,11349988
2753.0,11350273
2753.0,11351206
2753.0,11350112
2753.0,11350945
2753.0,11350381
2753.0,11350261
2753.0,11350095
2753.0,11350152
2753.0,11351391
